Wilayah,Tahun,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
Kabupaten Temanggung,2023,75.77,12.61,7.5,10108,71.33
Kabupaten Kendal,2023,74.58,12.99,7.73,12755,73.86
Kabupaten Batang,2023,74.85,12.15,7.07,10470,70.2
Kabupaten Pekalongan,2023,73.87,12.44,7.47,11297,71.4
Kabupaten Pemalang,2023,73.85,12.01,6.55,9587,68.03
Kabupaten Tegal,2023,72,12.92,7.34,10537,70.23
Kabupaten Brebes,2023,69.96,12.44,6.4,10993,67.95
Kota Magelang,2023,77.22,14.4,11.2,13175,81.17
Kota Surakarta,2023,77.63,14.9,11,15870,83.54
Kota Salatiga,2023,77.93,15.44,11.24,16650,84.99
Kota Semarang,2023,77.9,15.55,10.81,16420,84.43
Kota Pekalongan,2023,74.6,12.87,9.29,14056,76.71
Kota Tegal,2023,74.77,13.18,9.24,14013,77.02
Kabupaten Cilacap,2024,74.57,12.69,7.4,11868,72.38
Kabupaten Banyumas,2024,74.34,13.34,7.91,12960,74.52
Kabupaten Purbalingga,2024,73.56,12.03,7.36,11343,70.69
Kabupaten Banjarnegara,2024,74.66,11.83,6.87,10595,69.6
Kabupaten Kebumen,2024,73.96,13.39,7.87,10176,71.93
Kabupaten Purworejo,2024,75.51,13.55,8.65,11584,75.11
Kabupaten Wonosobo,2024,72.4,11.81,6.9,11980,69.82
Kabupaten Magelang,2024,74.45,12.62,7.83,10926,71.99
Kabupaten Boyolali,2024,76.44,12.67,8.17,14195,75.96
Kabupaten Klaten,2024,77.3,13.43,9.29,13513,78.16
Kabupaten Sukoharjo,2024,78.01,13.92,10.01,12758,79.3
Kabupaten Wonogiri,2024,76.84,12.61,7.68,10634,72.55
Kabupaten Karanganyar,2024,77.91,13.73,9.26,12732,78.11
Kabupaten Sragen,2024,76.18,12.93,7.88,13890,75.53
Kabupaten Grobogan,2024,75.24,12.48,7.29,11548,72.02
Kabupaten Blora,2024,74.84,12.6,7.26,10926,71.39
Kabupaten Rembang,2024,74.97,12.3,7.73,11830,72.53
Kabupaten Pati,2024,76.56,12.98,7.82,11829,74.1
Kabupaten Kudus,2024,77.08,13.28,9.35,12533,77.22
Kabupaten Jepara,2024,76.21,12.86,8.27,11729,74.32
Kabupaten Demak,2024,75.79,13.36,8.28,11591,74.57
Kabupaten Semarang,2024,76.14,13.06,8.16,13377,75.67
Kabupaten Temanggung,2024,75.95,12.62,7.53,10519,71.87
Kabupaten Kendal,2024,74.73,13,7.74,13277,74.34
Kabupaten Batang,2024,75.03,12.17,7.08,10919,70.74
Kabupaten Pekalongan,2024,74,12.46,7.48,11701,71.84
Kabupaten Pemalang,2024,73.99,12.02,6.56,10017,68.55
Kabupaten Tegal,2024,72.16,12.96,7.36,10972,70.77
Kabupaten Brebes,2024,70.29,12.45,6.41,11389,68.46
Kota Magelang,2024,77.53,14.62,11.43,13619,82.15
Kota Surakarta,2024,77.9,15.07,11.25,16291,84.4
Kota Salatiga,2024,78.26,15.46,11.48,17096,85.72
Kota Semarang,2024,78.24,15.57,11.05,16990,85.25
Kota Pekalongan,2024,74.8,12.89,9.34,14547,77.22
Kota Tegal,2024,74.87,13.25,9.28,14358,77.43
